Callee Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::subscription	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	"java.util.Map<java.lang.String, java.lang.String>"	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::consumeThreadMin	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	int	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-client:4.9.1	org.apache.rocketmq.remoting.protocol.LanguageCode::CPP	org.apache.rocketmq.remoting.protocol.LanguageCode	org.apache.rocketmq.remoting.protocol.LanguageCode	org.apache.rocketmq.remoting.protocol.LanguageCode	TRUE	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	FALSE	1
org.apache.rocketmq:rocketmq-client:4.9.1	org.apache.rocketmq.common.MQVersion::CURRENT_VERSION	org.apache.rocketmq.common.MQVersion	org.apache.rocketmq.common.MQVersion	int	TRUE	public	org.apache.rocketmq:rocketmq-common:4.9.1	FALSE	2
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::pullThresholdSizeForTopic	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	int	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::unitMode	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	boolean	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::consumeTimestamp	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	java.lang.String	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-client:4.9.1	org.apache.rocketmq.common.MQVersion$Version::V4_1_0_SNAPSHOT	org.apache.rocketmq.common.MQVersion$Version	org.apache.rocketmq.common.MQVersion$Version	org.apache.rocketmq.common.MQVersion$Version	TRUE	public	org.apache.rocketmq:rocketmq-common:4.9.1	FALSE	1
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::awaitTerminationMillisWhenShutdown	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	long	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-client:4.9.1	org.apache.rocketmq.common.ServiceState::CREATE_JUST	org.apache.rocketmq.common.ServiceState	org.apache.rocketmq.common.ServiceState	org.apache.rocketmq.common.ServiceState	TRUE	public	org.apache.rocketmq:rocketmq-common:4.9.1	FALSE	9
org.apache.rocketmq:rocketmq-remoting:4.9.1	io.netty.util.internal.logging.InternalLogLevel::WARN	io.netty.util.internal.logging.InternalLogLevel	io.netty.util.internal.logging.InternalLogLevel	io.netty.util.internal.logging.InternalLogLevel	TRUE	public	io.netty:netty-all:4.1.65.Final	FALSE	7
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::pullThresholdSizeForQueue	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	int	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-client:4.9.1	io.opentracing.tag.Tags::PEER_SERVICE	io.opentracing.tag.Tags	io.opentracing.tag.Tags	io.opentracing.tag.StringTag	TRUE	public	io.opentracing:opentracing-api:0.33.0	FALSE	3
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::offsetStore	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.store.OffsetStore	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-client:4.9.1	io.opentracing.tag.Tags::SPAN_KIND	io.opentracing.tag.Tags	io.opentracing.tag.Tags	io.opentracing.tag.StringTag	TRUE	public	io.opentracing:opentracing-api:0.33.0	FALSE	3
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::traceDispatcher	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.trace.TraceDispatcher	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-client:4.9.1	org.apache.rocketmq.common.protocol.body.CMResult::CR_ROLLBACK	org.apache.rocketmq.common.protocol.body.CMResult	org.apache.rocketmq.common.protocol.body.CMResult	org.apache.rocketmq.common.protocol.body.CMResult	TRUE	public	org.apache.rocketmq:rocketmq-common:4.9.1	FALSE	1
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::consumeMessageBatchMaxSize	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	int	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::log	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.logging.InternalLogger	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::defaultMQPushConsumerImpl	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.impl.consumer.DefaultMQPushConsumerImpl	FALSE	protected	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-remoting:4.9.1	io.netty.util.internal.logging.InternalLogLevel::DEBUG	io.netty.util.internal.logging.InternalLogLevel	io.netty.util.internal.logging.InternalLogLevel	io.netty.util.internal.logging.InternalLogLevel	TRUE	public	io.netty:netty-all:4.1.65.Final	FALSE	7
org.apache.rocketmq:rocketmq-client:4.9.1	org.apache.rocketmq.common.message.MessageType::Trans_msg_Commit	org.apache.rocketmq.common.message.MessageType	org.apache.rocketmq.common.message.MessageType	org.apache.rocketmq.common.message.MessageType	TRUE	public	org.apache.rocketmq:rocketmq-common:4.9.1	FALSE	2
org.apache.commons:commons-lang3:3.4	org.apache.rocketmq.client.consumer.DefaultLitePullConsumer::defaultLitePullConsumerImpl	org.apache.rocketmq.client.consumer.DefaultLitePullConsumer	org.apache.rocketmq.client.consumer.DefaultLitePullConsumer	org.apache.rocketmq.client.impl.consumer.DefaultLitePullConsumerImpl	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	23
org.apache.rocketmq:rocketmq-client:4.9.1	io.opentracing.propagation.Format$Builtin::TEXT_MAP	io.opentracing.propagation.Format$Builtin	io.opentracing.propagation.Format$Builtin	io.opentracing.propagation.Format<io.opentracing.propagation.TextMap>	TRUE	public	io.opentracing:opentracing-api:0.33.0	FALSE	4
org.apache.rocketmq:rocketmq-remoting:4.9.1	io.netty.util.internal.logging.InternalLogLevel::TRACE	io.netty.util.internal.logging.InternalLogLevel	io.netty.util.internal.logging.InternalLogLevel	io.netty.util.internal.logging.InternalLogLevel	TRUE	public	io.netty:netty-all:4.1.65.Final	FALSE	7
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::maxReconsumeTimes	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	int	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-client:4.9.1	org.apache.rocketmq.common.protocol.heartbeat.ConsumeType::CONSUME_PASSIVELY	org.apache.rocketmq.common.protocol.heartbeat.ConsumeType	org.apache.rocketmq.common.protocol.heartbeat.ConsumeType	org.apache.rocketmq.common.protocol.heartbeat.ConsumeType	TRUE	public	org.apache.rocketmq:rocketmq-common:4.9.1	FALSE	3
org.apache.rocketmq:rocketmq-client:4.9.1	org.apache.rocketmq.common.consumer.ConsumeFromWhere::CONSUME_FROM_LAST_OFFSET	org.apache.rocketmq.common.consumer.ConsumeFromWhere	org.apache.rocketmq.common.consumer.ConsumeFromWhere	org.apache.rocketmq.common.consumer.ConsumeFromWhere	TRUE	public	org.apache.rocketmq:rocketmq-common:4.9.1	FALSE	6
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::consumerGroup	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	java.lang.String	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::consumeTimeout	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	long	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-client:4.9.1	org.apache.rocketmq.common.message.MessageType::Normal_Msg	org.apache.rocketmq.common.message.MessageType	org.apache.rocketmq.common.message.MessageType	org.apache.rocketmq.common.message.MessageType	TRUE	public	org.apache.rocketmq:rocketmq-common:4.9.1	FALSE	1
org.apache.rocketmq:rocketmq-client:4.9.1	org.apache.rocketmq.common.protocol.heartbeat.MessageModel::CLUSTERING	org.apache.rocketmq.common.protocol.heartbeat.MessageModel	org.apache.rocketmq.common.protocol.heartbeat.MessageModel	org.apache.rocketmq.common.protocol.heartbeat.MessageModel	TRUE	public	org.apache.rocketmq:rocketmq-common:4.9.1	FALSE	13
org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::consumeThreadMax	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	org.apache.rocketmq.client.consumer.DefaultMQPushConsumer	int	FALSE	private	org.apache.rocketmq:rocketmq-client:4.9.1	TRUE	12
org.apache.rocketmq:rocketmq-remoting:4.9.1	io.netty.channel.ChannelOption::SO_SNDBUF	io.netty.channel.ChannelOption	io.netty.channel.ChannelOption	io.netty.channel.ChannelOption<java.lang.Integer>	TRUE	public	io.netty:netty-all:4.1.65.Final	FALSE	1
